audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD_TRIP_001_0,TRIP_001,2024-10-25 08:15:00,0,54.8,normal,0
AUD_TRIP_001_1,TRIP_001,2024-10-25 08:15:01,1,52.9,normal,0
AUD_TRIP_001_2,TRIP_001,2024-10-25 08:15:02,2,52.4,normal,0
AUD_TRIP_001_3,TRIP_001,2024-10-25 08:15:03,3,51.7,normal,0
AUD_TRIP_001_4,TRIP_001,2024-10-25 08:15:04,4,49.5,normal,0
AUD_TRIP_001_5,TRIP_001,2024-10-25 08:15:05,5,49.0,normal,0
AUD_TRIP_001_6,TRIP_001,2024-10-25 08:15:06,6,54.4,normal,0
AUD_TRIP_001_7,TRIP_001,2024-10-25 08:15:07,7,57.3,normal,0
AUD_TRIP_001_8,TRIP_001,2024-10-25 08:15:08,8,57.8,normal,0
AUD_TRIP_001_9,TRIP_001,2024-10-25 08:15:09,9,55.6,normal,0
AUD_TRIP_001_10,TRIP_001,2024-10-25 08:15:10,10,54.4,normal,0
AUD_TRIP_001_11,TRIP_001,2024-10-25 08:15:11,11,52.3,normal,0
AUD_TRIP_001_12,TRIP_001,2024-10-25 08:15:12,12,54.9,normal,0
AUD_TRIP_001_13,TRIP_001,2024-10-25 08:15:13,13,57.2,normal,0
AUD_TRIP_001_14,TRIP_001,2024-10-25 08:15:14,14,51.6,normal,0
AUD_TRIP_001_15,TRIP_001,2024-10-25 08:15:15,15,59.1,normal,0
AUD_TRIP_001_16,TRIP_001,2024-10-25 08:15:16,16,51.8,normal,0
AUD_TRIP_001_17,TRIP_001,2024-10-25 08:15:17,17,56.1,normal,0
AUD_TRIP_001_18,TRIP_001,2024-10-25 08:15:18,18,59.4,normal,0
AUD_TRIP_001_19,TRIP_001,2024-10-25 08:15:19,19,53.8,normal,0
AUD_TRIP_001_20,TRIP_001,2024-10-25 08:15:20,20,52.3,normal,0
AUD_TRIP_001_21,TRIP_001,2024-10-25 08:15:21,21,55.0,normal,0
AUD_TRIP_001_22,TRIP_001,2024-10-25 08:15:22,22,53.5,normal,0
AUD_TRIP_001_23,TRIP_001,2024-10-25 08:15:23,23,62.8,normal,0
AUD_TRIP_001_24,TRIP_001,2024-10-25 08:15:24,24,54.5,normal,0
AUD_TRIP_001_25,TRIP_001,2024-10-25 08:15:25,25,52.8,normal,0
AUD_TRIP_001_26,TRIP_001,2024-10-25 08:15:26,26,55.4,normal,0
AUD_TRIP_001_27,TRIP_001,2024-10-25 08:15:27,27,54.9,normal,0
AUD_TRIP_001_28,TRIP_001,2024-10-25 08:15:28,28,56.2,normal,0
AUD_TRIP_001_29,TRIP_001,2024-10-25 08:15:29,29,53.9,normal,0
AUD_TRIP_001_30,TRIP_001,2024-10-25 08:15:30,30,56.3,normal,0
AUD_TRIP_001_31,TRIP_001,2024-10-25 08:15:31,31,56.2,normal,0
AUD_TRIP_001_32,TRIP_001,2024-10-25 08:15:32,32,56.7,normal,0
AUD_TRIP_001_33,TRIP_001,2024-10-25 08:15:33,33,53.8,normal,0
AUD_TRIP_001_34,TRIP_001,2024-10-25 08:15:34,34,53.8,normal,0
AUD_TRIP_001_35,TRIP_001,2024-10-25 08:15:35,35,58.3,normal,0
AUD_TRIP_001_36,TRIP_001,2024-10-25 08:15:36,36,53.9,normal,0
AUD_TRIP_001_37,TRIP_001,2024-10-25 08:15:37,37,53.8,normal,0
AUD_TRIP_001_38,TRIP_001,2024-10-25 08:15:38,38,54.8,normal,0
AUD_TRIP_001_39,TRIP_001,2024-10-25 08:15:39,39,51.2,normal,0
AUD_TRIP_001_40,TRIP_001,2024-10-25 08:15:40,40,60.1,normal,0
AUD_TRIP_001_41,TRIP_001,2024-10-25 08:15:41,41,58.7,normal,0
AUD_TRIP_001_42,TRIP_001,2024-10-25 08:15:42,42,53.8,normal,0
AUD_TRIP_001_43,TRIP_001,2024-10-25 08:15:43,43,56.2,normal,0
AUD_TRIP_001_44,TRIP_001,2024-10-25 08:15:44,44,56.2,normal,0
AUD_TRIP_001_45,TRIP_001,2024-10-25 08:15:45,45,60.6,normal,0
AUD_TRIP_001_46,TRIP_001,2024-10-25 08:15:46,46,54.0,normal,0
AUD_TRIP_001_47,TRIP_001,2024-10-25 08:15:47,47,53.1,normal,0
AUD_TRIP_001_48,TRIP_001,2024-10-25 08:15:48,48,57.2,normal,0
AUD_TRIP_001_49,TRIP_001,2024-10-25 08:15:49,49,52.9,normal,0
AUD_TRIP_001_50,TRIP_001,2024-10-25 08:15:50,50,53.3,normal,0
AUD_TRIP_001_51,TRIP_001,2024-10-25 08:15:51,51,55.2,normal,0
AUD_TRIP_001_52,TRIP_001,2024-10-25 08:15:52,52,57.1,normal,0
AUD_TRIP_001_53,TRIP_001,2024-10-25 08:15:53,53,50.1,normal,0
AUD_TRIP_001_54,TRIP_001,2024-10-25 08:15:54,54,54.0,normal,0
AUD_TRIP_001_55,TRIP_001,2024-10-25 08:15:55,55,58.6,normal,0
AUD_TRIP_001_56,TRIP_001,2024-10-25 08:15:56,56,54.3,normal,0
AUD_TRIP_001_57,TRIP_001,2024-10-25 08:15:57,57,60.8,normal,0
AUD_TRIP_001_58,TRIP_001,2024-10-25 08:15:58,58,52.0,normal,0
AUD_TRIP_001_59,TRIP_001,2024-10-25 08:15:59,59,49.1,normal,0
AUD_TRIP_001_60,TRIP_001,2024-10-25 08:16:00,60,53.1,normal,0
AUD_TRIP_001_61,TRIP_001,2024-10-25 08:16:01,61,53.9,normal,0
AUD_TRIP_001_62,TRIP_001,2024-10-25 08:16:02,62,54.6,normal,0
AUD_TRIP_001_63,TRIP_001,2024-10-25 08:16:03,63,55.3,normal,0
AUD_TRIP_001_64,TRIP_001,2024-10-25 08:16:04,64,53.5,normal,0
AUD_TRIP_001_65,TRIP_001,2024-10-25 08:16:05,65,51.4,normal,0
AUD_TRIP_001_66,TRIP_001,2024-10-25 08:16:06,66,57.9,normal,0
AUD_TRIP_001_67,TRIP_001,2024-10-25 08:16:07,67,57.4,normal,0
AUD_TRIP_001_68,TRIP_001,2024-10-25 08:16:08,68,48.5,normal,0
AUD_TRIP_001_69,TRIP_001,2024-10-25 08:16:09,69,54.5,normal,0
AUD_TRIP_001_70,TRIP_001,2024-10-25 08:16:10,70,56.9,normal,0
AUD_TRIP_001_71,TRIP_001,2024-10-25 08:16:11,71,55.8,normal,0
AUD_TRIP_001_72,TRIP_001,2024-10-25 08:16:12,72,56.0,normal,0
AUD_TRIP_001_73,TRIP_001,2024-10-25 08:16:13,73,53.0,normal,0
AUD_TRIP_001_74,TRIP_001,2024-10-25 08:16:14,74,56.1,normal,0
AUD_TRIP_001_75,TRIP_001,2024-10-25 08:16:15,75,59.1,normal,0
AUD_TRIP_001_76,TRIP_001,2024-10-25 08:16:16,76,52.6,normal,0
AUD_TRIP_001_77,TRIP_001,2024-10-25 08:16:17,77,56.7,normal,0
AUD_TRIP_001_78,TRIP_001,2024-10-25 08:16:18,78,53.1,normal,0
AUD_TRIP_001_79,TRIP_001,2024-10-25 08:16:19,79,53.7,normal,0
AUD_TRIP_001_80,TRIP_001,2024-10-25 08:16:20,80,56.6,normal,0
AUD_TRIP_001_81,TRIP_001,2024-10-25 08:16:21,81,55.3,normal,0
AUD_TRIP_001_82,TRIP_001,2024-10-25 08:16:22,82,54.1,normal,0
AUD_TRIP_001_83,TRIP_001,2024-10-25 08:16:23,83,58.0,normal,0
AUD_TRIP_001_84,TRIP_001,2024-10-25 08:16:24,84,52.0,normal,0
AUD_TRIP_001_85,TRIP_001,2024-10-25 08:16:25,85,57.0,normal,0
AUD_TRIP_001_86,TRIP_001,2024-10-25 08:16:26,86,55.4,normal,0
AUD_TRIP_001_87,TRIP_001,2024-10-25 08:16:27,87,56.0,normal,0
AUD_TRIP_001_88,TRIP_001,2024-10-25 08:16:28,88,57.0,normal,0
AUD_TRIP_001_89,TRIP_001,2024-10-25 08:16:29,89,54.4,normal,0
AUD_TRIP_001_90,TRIP_001,2024-10-25 08:16:30,90,49.5,normal,0
AUD_TRIP_001_91,TRIP_001,2024-10-25 08:16:31,91,53.1,normal,0
AUD_TRIP_001_92,TRIP_001,2024-10-25 08:16:32,92,54.5,normal,0
AUD_TRIP_001_93,TRIP_001,2024-10-25 08:16:33,93,53.8,normal,0
AUD_TRIP_001_94,TRIP_001,2024-10-25 08:16:34,94,54.9,normal,0
AUD_TRIP_001_95,TRIP_001,2024-10-25 08:16:35,95,61.3,normal,0
AUD_TRIP_001_96,TRIP_001,2024-10-25 08:16:36,96,53.7,normal,0
AUD_TRIP_001_97,TRIP_001,2024-10-25 08:16:37,97,56.9,normal,0
AUD_TRIP_001_98,TRIP_001,2024-10-25 08:16:38,98,51.3,normal,0
AUD_TRIP_001_99,TRIP_001,2024-10-25 08:16:39,99,50.4,normal,0
AUD_TRIP_001_100,TRIP_001,2024-10-25 08:16:40,100,56.7,normal,0
AUD_TRIP_001_101,TRIP_001,2024-10-25 08:16:41,101,58.0,normal,0
AUD_TRIP_001_102,TRIP_001,2024-10-25 08:16:42,102,57.8,normal,0
AUD_TRIP_001_103,TRIP_001,2024-10-25 08:16:43,103,58.4,normal,0
AUD_TRIP_001_104,TRIP_001,2024-10-25 08:16:44,104,56.0,normal,0
AUD_TRIP_001_105,TRIP_001,2024-10-25 08:16:45,105,55.9,normal,0
AUD_TRIP_001_106,TRIP_001,2024-10-25 08:16:46,106,56.8,normal,0
AUD_TRIP_001_107,TRIP_001,2024-10-25 08:16:47,107,57.9,normal,0
AUD_TRIP_001_108,TRIP_001,2024-10-25 08:16:48,108,60.2,normal,0
AUD_TRIP_001_109,TRIP_001,2024-10-25 08:16:49,109,54.4,normal,0
AUD_TRIP_001_110,TRIP_001,2024-10-25 08:16:50,110,52.2,normal,0
AUD_TRIP_001_111,TRIP_001,2024-10-25 08:16:51,111,54.1,normal,0
AUD_TRIP_001_112,TRIP_001,2024-10-25 08:16:52,112,53.3,normal,0
AUD_TRIP_001_113,TRIP_001,2024-10-25 08:16:53,113,56.4,normal,0
AUD_TRIP_001_114,TRIP_001,2024-10-25 08:16:54,114,56.8,normal,0
AUD_TRIP_001_115,TRIP_001,2024-10-25 08:16:55,115,53.8,normal,0
AUD_TRIP_001_116,TRIP_001,2024-10-25 08:16:56,116,54.0,normal,0
AUD_TRIP_001_117,TRIP_001,2024-10-25 08:16:57,117,57.9,normal,0
AUD_TRIP_001_118,TRIP_001,2024-10-25 08:16:58,118,59.5,normal,0
AUD_TRIP_001_119,TRIP_001,2024-10-25 08:16:59,119,57.5,normal,0
AUD_TRIP_001_120,TRIP_001,2024-10-25 08:17:00,120,54.7,normal,0
AUD_TRIP_001_121,TRIP_001,2024-10-25 08:17:01,121,60.2,normal,0
AUD_TRIP_001_122,TRIP_001,2024-10-25 08:17:02,122,59.4,normal,0
AUD_TRIP_001_123,TRIP_001,2024-10-25 08:17:03,123,49.0,normal,0
AUD_TRIP_001_124,TRIP_001,2024-10-25 08:17:04,124,52.0,normal,0
AUD_TRIP_001_125,TRIP_001,2024-10-25 08:17:05,125,52.2,normal,0
AUD_TRIP_001_126,TRIP_001,2024-10-25 08:17:06,126,49.7,normal,0
AUD_TRIP_001_127,TRIP_001,2024-10-25 08:17:07,127,51.8,normal,0
AUD_TRIP_001_128,TRIP_001,2024-10-25 08:17:08,128,59.9,normal,0
AUD_TRIP_001_129,TRIP_001,2024-10-25 08:17:09,129,57.1,normal,0
AUD_TRIP_001_130,TRIP_001,2024-10-25 08:17:10,130,55.1,normal,0
AUD_TRIP_001_131,TRIP_001,2024-10-25 08:17:11,131,57.4,normal,0
AUD_TRIP_001_132,TRIP_001,2024-10-25 08:17:12,132,55.3,normal,0
AUD_TRIP_001_133,TRIP_001,2024-10-25 08:17:13,133,51.7,normal,0
AUD_TRIP_001_134,TRIP_001,2024-10-25 08:17:14,134,54.1,normal,0
AUD_TRIP_001_135,TRIP_001,2024-10-25 08:17:15,135,57.5,normal,0
AUD_TRIP_001_136,TRIP_001,2024-10-25 08:17:16,136,53.6,normal,0
AUD_TRIP_001_137,TRIP_001,2024-10-25 08:17:17,137,53.0,normal,0
AUD_TRIP_001_138,TRIP_001,2024-10-25 08:17:18,138,55.4,normal,0
AUD_TRIP_001_139,TRIP_001,2024-10-25 08:17:19,139,57.1,normal,0
AUD_TRIP_001_140,TRIP_001,2024-10-25 08:17:20,140,56.2,normal,0
AUD_TRIP_001_141,TRIP_001,2024-10-25 08:17:21,141,49.5,normal,0
AUD_TRIP_001_142,TRIP_001,2024-10-25 08:17:22,142,53.1,normal,0
AUD_TRIP_001_143,TRIP_001,2024-10-25 08:17:23,143,52.4,normal,0
AUD_TRIP_001_144,TRIP_001,2024-10-25 08:17:24,144,57.0,normal,0
AUD_TRIP_001_145,TRIP_001,2024-10-25 08:17:25,145,53.9,normal,0
AUD_TRIP_001_146,TRIP_001,2024-10-25 08:17:26,146,50.7,normal,0
AUD_TRIP_001_147,TRIP_001,2024-10-25 08:17:27,147,52.5,normal,0
AUD_TRIP_001_148,TRIP_001,2024-10-25 08:17:28,148,58.2,normal,0
AUD_TRIP_001_149,TRIP_001,2024-10-25 08:17:29,149,53.5,normal,0
AUD_TRIP_001_150,TRIP_001,2024-10-25 08:17:30,150,51.3,normal,0
AUD_TRIP_001_151,TRIP_001,2024-10-25 08:17:31,151,52.0,normal,0
AUD_TRIP_001_152,TRIP_001,2024-10-25 08:17:32,152,53.0,normal,0
AUD_TRIP_001_153,TRIP_001,2024-10-25 08:17:33,153,57.9,normal,0
AUD_TRIP_001_154,TRIP_001,2024-10-25 08:17:34,154,52.3,normal,0
AUD_TRIP_001_155,TRIP_001,2024-10-25 08:17:35,155,54.9,normal,0
AUD_TRIP_001_156,TRIP_001,2024-10-25 08:17:36,156,55.3,normal,0
AUD_TRIP_001_157,TRIP_001,2024-10-25 08:17:37,157,56.1,normal,0
AUD_TRIP_001_158,TRIP_001,2024-10-25 08:17:38,158,57.1,normal,0
AUD_TRIP_001_159,TRIP_001,2024-10-25 08:17:39,159,56.3,normal,0
AUD_TRIP_001_160,TRIP_001,2024-10-25 08:17:40,160,56.7,normal,0
AUD_TRIP_001_161,TRIP_001,2024-10-25 08:17:41,161,57.4,normal,0
AUD_TRIP_001_162,TRIP_001,2024-10-25 08:17:42,162,53.4,normal,0
AUD_TRIP_001_163,TRIP_001,2024-10-25 08:17:43,163,52.3,normal,0
AUD_TRIP_001_164,TRIP_001,2024-10-25 08:17:44,164,59.1,normal,0
AUD_TRIP_001_165,TRIP_001,2024-10-25 08:17:45,165,52.6,normal,0
AUD_TRIP_001_166,TRIP_001,2024-10-25 08:17:46,166,53.3,normal,0
AUD_TRIP_001_167,TRIP_001,2024-10-25 08:17:47,167,53.4,normal,0
AUD_TRIP_001_168,TRIP_001,2024-10-25 08:17:48,168,55.4,normal,0
AUD_TRIP_001_169,TRIP_001,2024-10-25 08:17:49,169,57.2,normal,0
AUD_TRIP_001_170,TRIP_001,2024-10-25 08:17:50,170,58.7,normal,0
AUD_TRIP_001_171,TRIP_001,2024-10-25 08:17:51,171,58.9,normal,0
AUD_TRIP_001_172,TRIP_001,2024-10-25 08:17:52,172,52.2,normal,0
AUD_TRIP_001_173,TRIP_001,2024-10-25 08:17:53,173,56.9,normal,0
AUD_TRIP_001_174,TRIP_001,2024-10-25 08:17:54,174,53.3,normal,0
AUD_TRIP_001_175,TRIP_001,2024-10-25 08:17:55,175,49.3,normal,0
AUD_TRIP_001_176,TRIP_001,2024-10-25 08:17:56,176,57.9,normal,0
AUD_TRIP_001_177,TRIP_001,2024-10-25 08:17:57,177,58.9,normal,0
AUD_TRIP_001_178,TRIP_001,2024-10-25 08:17:58,178,56.5,normal,0
AUD_TRIP_001_179,TRIP_001,2024-10-25 08:17:59,179,59.2,normal,0
AUD_TRIP_001_180,TRIP_001,2024-10-25 08:18:00,180,62.3,normal,0
AUD_TRIP_001_181,TRIP_001,2024-10-25 08:18:01,181,55.9,normal,0
AUD_TRIP_001_182,TRIP_001,2024-10-25 08:18:02,182,60.5,normal,0
AUD_TRIP_001_183,TRIP_001,2024-10-25 08:18:03,183,60.8,normal,0
AUD_TRIP_001_184,TRIP_001,2024-10-25 08:18:04,184,57.9,normal,0
AUD_TRIP_001_185,TRIP_001,2024-10-25 08:18:05,185,56.7,normal,0
AUD_TRIP_001_186,TRIP_001,2024-10-25 08:18:06,186,60.4,normal,0
AUD_TRIP_001_187,TRIP_001,2024-10-25 08:18:07,187,53.1,normal,0
AUD_TRIP_001_188,TRIP_001,2024-10-25 08:18:08,188,57.4,normal,0
AUD_TRIP_001_189,TRIP_001,2024-10-25 08:18:09,189,51.9,normal,0
AUD_TRIP_001_190,TRIP_001,2024-10-25 08:18:10,190,55.3,normal,0
AUD_TRIP_001_191,TRIP_001,2024-10-25 08:18:11,191,53.5,normal,0
AUD_TRIP_001_192,TRIP_001,2024-10-25 08:18:12,192,59.5,normal,0
AUD_TRIP_001_193,TRIP_001,2024-10-25 08:18:13,193,53.4,normal,0
AUD_TRIP_001_194,TRIP_001,2024-10-25 08:18:14,194,56.2,normal,0
AUD_TRIP_001_195,TRIP_001,2024-10-25 08:18:15,195,51.8,normal,0
AUD_TRIP_001_196,TRIP_001,2024-10-25 08:18:16,196,57.5,normal,0
AUD_TRIP_001_197,TRIP_001,2024-10-25 08:18:17,197,49.7,normal,0
AUD_TRIP_001_198,TRIP_001,2024-10-25 08:18:18,198,53.3,normal,0
AUD_TRIP_001_199,TRIP_001,2024-10-25 08:18:19,199,54.7,normal,0
AUD_TRIP_001_200,TRIP_001,2024-10-25 08:18:20,200,56.3,normal,0
AUD_TRIP_001_201,TRIP_001,2024-10-25 08:18:21,201,54.5,normal,0
AUD_TRIP_001_202,TRIP_001,2024-10-25 08:18:22,202,58.5,normal,0
AUD_TRIP_001_203,TRIP_001,2024-10-25 08:18:23,203,55.7,normal,0
AUD_TRIP_001_204,TRIP_001,2024-10-25 08:18:24,204,59.7,normal,0
AUD_TRIP_001_205,TRIP_001,2024-10-25 08:18:25,205,56.6,normal,0
AUD_TRIP_001_206,TRIP_001,2024-10-25 08:18:26,206,55.4,normal,0
AUD_TRIP_001_207,TRIP_001,2024-10-25 08:18:27,207,49.2,normal,0
AUD_TRIP_001_208,TRIP_001,2024-10-25 08:18:28,208,59.2,normal,0
AUD_TRIP_001_209,TRIP_001,2024-10-25 08:18:29,209,55.9,normal,0
AUD_TRIP_001_210,TRIP_001,2024-10-25 08:18:30,210,54.3,normal,0
AUD_TRIP_001_211,TRIP_001,2024-10-25 08:18:31,211,50.8,normal,0
AUD_TRIP_001_212,TRIP_001,2024-10-25 08:18:32,212,60.6,normal,0
AUD_TRIP_001_213,TRIP_001,2024-10-25 08:18:33,213,59.4,normal,0
AUD_TRIP_001_214,TRIP_001,2024-10-25 08:18:34,214,55.7,normal,0
AUD_TRIP_001_215,TRIP_001,2024-10-25 08:18:35,215,47.4,normal,0
AUD_TRIP_001_216,TRIP_001,2024-10-25 08:18:36,216,49.6,normal,0
AUD_TRIP_001_217,TRIP_001,2024-10-25 08:18:37,217,52.8,normal,0
AUD_TRIP_001_218,TRIP_001,2024-10-25 08:18:38,218,49.9,normal,0
AUD_TRIP_001_219,TRIP_001,2024-10-25 08:18:39,219,55.5,normal,0
AUD_TRIP_001_220,TRIP_001,2024-10-25 08:18:40,220,50.5,normal,0
AUD_TRIP_001_221,TRIP_001,2024-10-25 08:18:41,221,51.3,normal,0
AUD_TRIP_001_222,TRIP_001,2024-10-25 08:18:42,222,60.3,normal,0
AUD_TRIP_001_223,TRIP_001,2024-10-25 08:18:43,223,52.6,normal,0
AUD_TRIP_001_224,TRIP_001,2024-10-25 08:18:44,224,59.4,normal,0
AUD_TRIP_001_225,TRIP_001,2024-10-25 08:18:45,225,54.7,normal,0
AUD_TRIP_001_226,TRIP_001,2024-10-25 08:18:46,226,59.3,normal,0
AUD_TRIP_001_227,TRIP_001,2024-10-25 08:18:47,227,57.2,normal,0
AUD_TRIP_001_228,TRIP_001,2024-10-25 08:18:48,228,55.9,normal,0
AUD_TRIP_001_229,TRIP_001,2024-10-25 08:18:49,229,53.2,normal,0
AUD_TRIP_001_230,TRIP_001,2024-10-25 08:18:50,230,54.7,normal,0
AUD_TRIP_001_231,TRIP_001,2024-10-25 08:18:51,231,55.7,normal,0
AUD_TRIP_001_232,TRIP_001,2024-10-25 08:18:52,232,56.6,normal,0
AUD_TRIP_001_233,TRIP_001,2024-10-25 08:18:53,233,57.3,normal,0
AUD_TRIP_001_234,TRIP_001,2024-10-25 08:18:54,234,57.0,normal,0
AUD_TRIP_001_235,TRIP_001,2024-10-25 08:18:55,235,62.6,normal,0
AUD_TRIP_001_236,TRIP_001,2024-10-25 08:18:56,236,55.4,normal,0
AUD_TRIP_001_237,TRIP_001,2024-10-25 08:18:57,237,58.2,normal,0
AUD_TRIP_001_238,TRIP_001,2024-10-25 08:18:58,238,53.5,normal,0
AUD_TRIP_001_239,TRIP_001,2024-10-25 08:18:59,239,51.1,normal,0
AUD_TRIP_001_240,TRIP_001,2024-10-25 08:19:00,240,56.6,normal,0
AUD_TRIP_001_241,TRIP_001,2024-10-25 08:19:01,241,53.2,normal,0
AUD_TRIP_001_242,TRIP_001,2024-10-25 08:19:02,242,54.7,normal,0
AUD_TRIP_001_243,TRIP_001,2024-10-25 08:19:03,243,54.1,normal,0
AUD_TRIP_001_244,TRIP_001,2024-10-25 08:19:04,244,56.2,normal,0
AUD_TRIP_001_245,TRIP_001,2024-10-25 08:19:05,245,49.2,normal,0
AUD_TRIP_001_246,TRIP_001,2024-10-25 08:19:06,246,54.8,normal,0
AUD_TRIP_001_247,TRIP_001,2024-10-25 08:19:07,247,53.5,normal,0
AUD_TRIP_001_248,TRIP_001,2024-10-25 08:19:08,248,58.9,normal,0
AUD_TRIP_001_249,TRIP_001,2024-10-25 08:19:09,249,58.2,normal,0
AUD_TRIP_001_250,TRIP_001,2024-10-25 08:19:10,250,66.5,normal,0
AUD_TRIP_001_251,TRIP_001,2024-10-25 08:19:11,251,49.7,normal,0
AUD_TRIP_001_252,TRIP_001,2024-10-25 08:19:12,252,54.1,normal,0
AUD_TRIP_001_253,TRIP_001,2024-10-25 08:19:13,253,55.8,normal,0
AUD_TRIP_001_254,TRIP_001,2024-10-25 08:19:14,254,48.9,normal,0
AUD_TRIP_001_255,TRIP_001,2024-10-25 08:19:15,255,56.0,normal,0
AUD_TRIP_001_256,TRIP_001,2024-10-25 08:19:16,256,50.8,normal,0
AUD_TRIP_001_257,TRIP_001,2024-10-25 08:19:17,257,56.1,normal,0
AUD_TRIP_001_258,TRIP_001,2024-10-25 08:19:18,258,49.8,normal,0
AUD_TRIP_001_259,TRIP_001,2024-10-25 08:19:19,259,53.5,normal,0
AUD_TRIP_001_260,TRIP_001,2024-10-25 08:19:20,260,55.2,normal,0
AUD_TRIP_001_261,TRIP_001,2024-10-25 08:19:21,261,56.0,normal,0
AUD_TRIP_001_262,TRIP_001,2024-10-25 08:19:22,262,54.7,normal,0
AUD_TRIP_001_263,TRIP_001,2024-10-25 08:19:23,263,50.5,normal,0
AUD_TRIP_001_264,TRIP_001,2024-10-25 08:19:24,264,58.3,normal,0
AUD_TRIP_001_265,TRIP_001,2024-10-25 08:19:25,265,55.5,normal,0
AUD_TRIP_001_266,TRIP_001,2024-10-25 08:19:26,266,54.4,normal,0
AUD_TRIP_001_267,TRIP_001,2024-10-25 08:19:27,267,57.6,normal,0
AUD_TRIP_001_268,TRIP_001,2024-10-25 08:19:28,268,57.7,normal,0
AUD_TRIP_001_269,TRIP_001,2024-10-25 08:19:29,269,60.4,normal,0
AUD_TRIP_001_270,TRIP_001,2024-10-25 08:19:30,270,58.7,normal,0
AUD_TRIP_001_271,TRIP_001,2024-10-25 08:19:31,271,56.0,normal,0
AUD_TRIP_001_272,TRIP_001,2024-10-25 08:19:32,272,54.3,normal,0
AUD_TRIP_001_273,TRIP_001,2024-10-25 08:19:33,273,52.7,normal,0
AUD_TRIP_001_274,TRIP_001,2024-10-25 08:19:34,274,52.8,normal,0
AUD_TRIP_001_275,TRIP_001,2024-10-25 08:19:35,275,53.5,normal,0
