log_id,driver_id,trip_id,timestamp,cumulative_earnings,elapsed_hours,trips_completed,current_velocity,required_velocity,velocity_delta,avg_earning_per_trip,est_trips_remaining,forecast_status
VEL_3B0F5009,DRV_ALEX,TRIP_001,2024-10-25 08:30:00,20.0,0.5,1,40.0,197.33,-157.33,20.0,74,behind
VEL_E7D632B2,DRV_ALEX,TRIP_001,2024-10-25 08:30:00,20.0,0.5,1,40.0,197.33,-157.33,20.0,74,behind
VEL_F604DB97,DRV_ALEX,TRIP_002,2024-10-25 09:25:00,70.0,1.42,2,49.41,217.22,-167.8,35.0,41,behind
VEL_0B8A31DF,DRV_ALEX,TRIP_002,2024-10-25 09:25:00,70.0,1.42,2,49.41,217.22,-167.8,35.0,41,behind
VEL_5A4D2663,DRV_ALEX,TRIP_003,2024-10-25 10:25:00,130.0,2.42,3,53.79,245.37,-191.58,43.33,32,behind
VEL_EBC0D34A,DRV_ALEX,TRIP_003,2024-10-25 10:25:00,130.0,2.42,3,53.79,245.37,-191.58,43.33,32,behind
VEL_3DE2F8B6,DRV_ALEX,TRIP_004,2024-10-25 11:00:00,280.0,3.0,4,93.33,244.0,-150.67,70.0,18,behind
VEL_E5696A12,DRV_ALEX,TRIP_004,2024-10-25 11:00:00,280.0,3.0,4,93.33,244.0,-150.67,70.0,18,behind
VEL_0E372F69,DRV_ALEX,TRIP_005,2024-10-25 11:40:00,460.0,3.67,5,125.45,240.0,-114.55,92.0,12,behind
VEL_794563C1,DRV_ALEX,TRIP_005,2024-10-25 11:40:00,460.0,3.67,5,125.45,240.0,-114.55,92.0,12,behind
VEL_791FAAF5,DRV_ALEX,TRIP_006,2024-10-25 12:10:00,550.0,4.17,6,132.0,247.83,-115.83,91.67,11,behind
VEL_7BAE9513,DRV_ALEX,TRIP_006,2024-10-25 12:10:00,550.0,4.17,6,132.0,247.83,-115.83,91.67,11,behind
VEL_5B380A87,DRV_ALEX,TRIP_007,2024-10-25 12:35:00,630.0,4.58,7,137.45,254.63,-117.18,90.0,10,behind
VEL_BF8D1478,DRV_ALEX,TRIP_007,2024-10-25 12:35:00,630.0,4.58,7,137.45,254.63,-117.18,90.0,10,behind
