flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,explanation,context
FLAG_444B2943,TRIP_002,DRV_ALEX,2024-10-25 09:02:31,1351,harsh_braking,medium,Harsh brake (4.6 m/s²) at 75 km/h.,Motion: harsh_brake
FLAG_32CD10C6,TRIP_002,DRV_ALEX,2024-10-25 09:02:31,1351,harsh_braking,medium,Harsh brake (4.5 m/s²) at 75 km/h.,Motion: harsh_brake
FLAG_669CA05B,TRIP_003,DRV_ALEX,2024-10-25 10:00:05,1505,high_audio,low,Sustained elevated cabin noise (82.0 dB avg).,Audio: elevated
FLAG_703C66BA,TRIP_003,DRV_ALEX,2024-10-25 10:00:05,1505,high_audio,low,Sustained elevated cabin noise (82.0 dB avg).,Audio: elevated
FLAG_2E763402,TRIP_004,DRV_ALEX,2024-10-25 10:47:32,752,harsh_braking,medium,Harsh brake (5.1 m/s²) at 50 km/h.,Motion: harsh_brake
FLAG_827BF021,TRIP_004,DRV_ALEX,2024-10-25 10:47:32,752,harsh_braking,medium,Harsh brake (5.1 m/s²) at 50 km/h.,Motion: harsh_brake
FLAG_35EFD780,TRIP_005,DRV_ALEX,2024-10-25 11:25:01,901,high_audio,low,Sustained elevated cabin noise (81.9 dB avg).,Audio: elevated
FLAG_D979ACA5,TRIP_005,DRV_ALEX,2024-10-25 11:25:01,901,harsh_braking,medium,Harsh brake (5.9 m/s²) at 40 km/h.,Motion: harsh_brake
FLAG_A10F3BFA,TRIP_005,DRV_ALEX,2024-10-25 11:25:01,901,conflict_moment,high,Combined signal: Harsh braking + sustained high audio within 60s.,Motion: harsh_brake | Audio: argument
FLAG_2009CD7B,TRIP_005,DRV_ALEX,2024-10-25 11:25:11,911,high_audio,high,Sustained elevated cabin noise (93.0 dB avg).,Audio: elevated
FLAG_CB36854B,TRIP_005,DRV_ALEX,2024-10-25 11:25:01,901,high_audio,low,Sustained elevated cabin noise (80.5 dB avg).,Audio: elevated
FLAG_0BDB4A1F,TRIP_005,DRV_ALEX,2024-10-25 11:25:01,901,harsh_braking,medium,Harsh brake (5.8 m/s²) at 42 km/h.,Motion: harsh_brake
FLAG_401F459C,TRIP_005,DRV_ALEX,2024-10-25 11:25:01,901,conflict_moment,high,Combined signal: Harsh braking + sustained high audio within 60s.,Motion: harsh_brake | Audio: argument
FLAG_8CDFBE9B,TRIP_005,DRV_ALEX,2024-10-25 11:25:11,911,high_audio,high,Sustained elevated cabin noise (93.0 dB avg).,Audio: elevated
FLAG_6BFF1823,TRIP_006,DRV_ALEX,2024-10-25 12:00:01,601,harsh_braking,medium,Harsh brake (4.9 m/s²) at 37 km/h.,Motion: harsh_brake
FLAG_E6AC91B1,TRIP_006,DRV_ALEX,2024-10-25 12:00:01,601,harsh_braking,medium,Harsh brake (4.9 m/s²) at 43 km/h.,Motion: harsh_brake
